:END_ID(Level1),:START_ID(Dataset)
5441230666384366571,566242629644762645
-6821778984317977624,566242629644762645
-7197551738309344425,566242629644762645
7833992262744298877,-5384600822607590196
-252680520479741000,-5384600822607590196
-2236182023433074523,-5384600822607590196
-7516821077071725250,-5384600822607590196
-3955612800500568664,-5384600822607590196
-7829089228169997158,-5384600822607590196
417926392973027995,-5384600822607590196
6958998099189141190,-5384600822607590196
-1367143123675976730,-5384600822607590196
-6116376018833678044,-5384600822607590196
1668195790362372290,-5384600822607590196
7863886121404176854,-5384600822607590196
631014894478749855,-5384600822607590196
4412573111706315826,-5384600822607590196
-3550012191774103052,-5384600822607590196
-2907156499705581764,-5384600822607590196
1279543965817018108,-5384600822607590196
6039010627952067316,-5384600822607590196
-5586532473595608146,-5384600822607590196
4616452319170301835,-5384600822607590196
-5212499622251337295,-5384600822607590196
6785349196007108832,-5384600822607590196
8936440519059639372,-5384600822607590196
-1293126019459828585,-5384600822607590196
215598333413292168,-5384600822607590196
6448875269254287803,-5384600822607590196
6924023178545731288,-5384600822607590196
-9157950509799923585,-5384600822607590196
-5149093289404976724,-5384600822607590196
-5132792045786582370,-5384600822607590196
-1715837152174438096,-5384600822607590196
-5850167325351452438,-5384600822607590196
7541849809973873482,-5384600822607590196
-2453391525007139317,-5384600822607590196
-2754188293712173656,-5384600822607590196
4114268675721189355,-5384600822607590196
6995772821374791485,-5384600822607590196
750883669960464147,-5384600822607590196
-7447559644518919272,-5384600822607590196
-3751215510576555468,-5384600822607590196
6215290013529569309,-5384600822607590196
6898855557318201496,-5384600822607590196
6979265447737301452,-5384600822607590196
-9136423189050893445,-5384600822607590196
4393285443592594249,-5384600822607590196
8761420663339380084,-5384600822607590196
380596596600657951,-5384600822607590196
4155187086271656444,-5384600822607590196
-1852175739607325519,-5384600822607590196
5841233602600992595,-5384600822607590196
8889529716314328997,-5384600822607590196
8140475921833957864,-5384600822607590196
-3631006163875319075,-5384600822607590196
784017615971602770,-5384600822607590196
-7824858080069635749,-5384600822607590196
-1018619823400588530,-5384600822607590196
-5206671639525959301,-5384600822607590196
-1053967060477479755,-5384600822607590196
6104503903104125351,-5384600822607590196
-1090889878683650688,-5384600822607590196
-4368890747713741865,-5384600822607590196
7527730612065278668,-5384600822607590196
9166238366015999673,-5384600822607590196
-594327865382893761,-5384600822607590196
229716304549106114,-5384600822607590196
5123182042101310040,-5384600822607590196
-848654019341037190,-5384600822607590196
-9101119486629650985,-5384600822607590196
6251083727490551153,-5384600822607590196
3632685614615682208,-5384600822607590196
-2596193755038731642,-5384600822607590196
8860286458985152616,-5384600822607590196
2916880558504812703,-5384600822607590196
-4566015626659223342,-5384600822607590196
255390681351746951,-5384600822607590196
-7978139472208689105,-5384600822607590196
592007768830492703,-5384600822607590196
115550791788208013,-5384600822607590196
8525809245215086827,-5384600822607590196
-8631827914521943064,-5384600822607590196
-3915248467099171781,-5384600822607590196
7810434878411283859,-5384600822607590196
4588226648506546977,-5384600822607590196
5451481280585313494,-5384600822607590196
-715531626743520077,-5384600822607590196
4073590199881122445,-5384600822607590196
-6495709871265750724,-5384600822607590196
7400561739471625700,-5384600822607590196
-4048532058656494295,-5384600822607590196
6655477955377736241,-5384600822607590196
-8901450773939597658,-5384600822607590196
7555357677549136504,-5384600822607590196
4353847062722338474,-5384600822607590196
-7694968856351030346,-5384600822607590196
-2626939012877927530,-5384600822607590196
4935165586084380731,-5384600822607590196
3665801232376024921,-5384600822607590196
9083534439387533192,-5384600822607590196
-2949314328976377917,-5384600822607590196
-5388511371424176644,-5384600822607590196
-6997518372248038560,-5533070350860110780
-5954245786755957434,-5533070350860110780
-36238379539883136,1776582642725251599
568965577092073959,1776582642725251599
-6944570294132466970,1776582642725251599
6766086948233842633,1776582642725251599
-4897897671424583228,1776582642725251599
-5494783189919939507,1776582642725251599
3751079622445586771,1776582642725251599
7694137616594795687,1776582642725251599
-1256702366505845175,-1310752332834374841
6295303573307030562,-1310752332834374841
4310871414411004574,4537778386639389893
5416976052671047552,4537778386639389893
-4339813725226979204,2480761400545891950
348242642636683985,-8662109018252284136
-7182411105886862709,6675892611730168983
-4413932859678312271,-8205881269891694699
-7906356651710129010,-3943591671977585145
407256527495030600,-3943591671977585145
-220695905828389666,1368453816586823533
-603537181206087421,1368453816586823533
-566634571406087207,1368453816586823533
7686405750564455505,7805104492690462402
-3459752573791314953,-3655781301291372354
1210415258667595841,-2404230685474009770
7103471243989631183,4684217581371918130
1958143482572737074,6155942238220327126
3182727245203974441,-6996437033149589389
-4426068857283644152,-6996437033149589389
-4485829326170062046,-6996437033149589389
112673841351995534,-6996437033149589389
4379736888899927193,-6996437033149589389
59719076769606701,-6996437033149589389
-7729240938677391013,-6996437033149589389
970434084812190356,-6996437033149589389
2369419256908060137,-6996437033149589389
-215484354288831877,-6996437033149589389
-7648098800457071938,-6996437033149589389
-6878111666200536186,-6996437033149589389
3720741608970850766,-6996437033149589389
-5124920266021535778,-6996437033149589389
-5424640618820244331,-6996437033149589389
2369690669521340545,-6996437033149589389
8037662946615803826,-6996437033149589389
-2784168091199240520,3851170592520837880
1684463700652730012,3851170592520837880
9180200658058774453,3851170592520837880
-5834299180429513310,3277539602464354781
4264903205960404392,3277539602464354781
8230709367955841218,3277539602464354781
6423738671149940126,3277539602464354781
-6382660552590019160,3277539602464354781
657938470609494567,3277539602464354781
-8274018878440384328,3277539602464354781
1585120088066464211,3277539602464354781
-4682707132177267182,3277539602464354781
-6960379733265169682,3277539602464354781
-7767247979142204154,3277539602464354781
-8136049137683012241,3277539602464354781
755966801642811573,3277539602464354781
847239789539555973,3277539602464354781
-300451070585519760,3277539602464354781
-7790672813801203781,5194455188019615916
6231175840368167221,5194455188019615916
-3083023698290651996,5194455188019615916
2958147512606780066,8909269234971040597
6881148979476528968,8909269234971040597
-8994232914236421893,5975228467289429463
-3446817279019030303,5975228467289429463
-2259407433799586459,5975228467289429463
7318159271394924468,6422513133664615542
-6845203476375395449,6422513133664615542
-5785069924234576718,4077417163776849364
-817838568389997077,8282847023537534294
1618728551916034667,8282847023537534294
-1959563789192321209,8282847023537534294
7314083674750888241,8282847023537534294
4626525155803487256,8282847023537534294
2006163777151565369,8282847023537534294
-961436836192944019,8282847023537534294
-6572674553038476950,8282847023537534294
-5680689966445727751,8282847023537534294
3996125814759364327,8282847023537534294
-3811111832093765284,8282847023537534294
3591545798931996011,8282847023537534294
350481097749157115,8282847023537534294
4261502695414594109,8282847023537534294
6955771192291751606,8282847023537534294
7688111930353070770,8282847023537534294
-1925899772098085770,8282847023537534294
-550497814706188527,8282847023537534294
1782149237907040977,8282847023537534294
6743955906035194484,8282847023537534294
8640036785823476351,8282847023537534294
4385649119378914262,8282847023537534294
-2817413940466984916,8282847023537534294
-7690838641330752178,8282847023537534294
-6994484160838907520,8282847023537534294
-3414177974982757994,8282847023537534294
-4607103438519710850,8282847023537534294
6388375343978871023,8282847023537534294
-8723255338130745336,8282847023537534294
-5959780341962551411,8282847023537534294
-8523323793800980500,8282847023537534294
339730595101562777,8282847023537534294
5582032103327708488,8282847023537534294
4781428659485575216,8282847023537534294
-992966052837613260,8282847023537534294
-1757900450112464631,8282847023537534294
-8630302061233619252,8282847023537534294
54828453693474484,926545034884032308
-327277154125933322,926545034884032308
-1415023890894305661,-1952087934655036581
-6770281982239001793,-1952087934655036581
-5211052541935691891,8455683753475004065
-8524120325648857480,8455683753475004065
-1857125672495842031,8455683753475004065
9090087142327422966,8679887469901490430
8684467444207446943,8679887469901490430
