:END_ID(Category),:START_ID(Dataset)
-6097805585051225509,-7214231157262919637
4687106631149561834,5524617148698965343
-6097805585051225509,5524617148698965343
4687106631149561834,-4288890799342673821
-2672473053555925323,-4288890799342673821
4687106631149561834,-1576645494131614592
-2672473053555925323,-1576645494131614592
4687106631149561834,2901773455433206814
3671262848689025573,2901773455433206814
4687106631149561834,7920535328051827392
-3121909766728792320,7920535328051827392
4687106631149561834,2690862523467317912
-6097805585051225509,2690862523467317912
4687106631149561834,6044963432835055836
-6097805585051225509,6044963432835055836
4687106631149561834,1301991149108382292
-2672473053555925323,1301991149108382292
4687106631149561834,2749452553553114051
-3121909766728792320,2749452553553114051
4687106631149561834,5674953451881916176
8138222883700124593,5674953451881916176
4687106631149561834,-5149259671830191660
-6097805585051225509,-5149259671830191660
4687106631149561834,-7864491321028893273
-6097805585051225509,-7864491321028893273
4687106631149561834,4549448579379148423
-3121909766728792320,4549448579379148423
4687106631149561834,-2563245075603976007
-4703458733694374599,-2563245075603976007
4687106631149561834,-3229052150315660490
-4703458733694374599,-3229052150315660490
4687106631149561834,1819295279568101897
-4703458733694374599,1819295279568101897
4687106631149561834,7330884216634016502
-4703458733694374599,7330884216634016502
4687106631149561834,-6454782579507939019
-4703458733694374599,-6454782579507939019
4687106631149561834,-6252935794151520380
-4703458733694374599,-6252935794151520380
4687106631149561834,2780882243900563297
-4703458733694374599,2780882243900563297
4687106631149561834,-9191932726969104526
-4703458733694374599,-9191932726969104526
4687106631149561834,-3465922587004876788
-4703458733694374599,-3465922587004876788
4687106631149561834,682316298332698677
-4703458733694374599,682316298332698677
4687106631149561834,-5106895979961189038
-4703458733694374599,-5106895979961189038
4687106631149561834,5778744410449351631
-4703458733694374599,5778744410449351631
4687106631149561834,8666552081460986791
-4703458733694374599,8666552081460986791
4687106631149561834,6316211502505083175
-4703458733694374599,6316211502505083175
4687106631149561834,-5632548682386299037
-4703458733694374599,-5632548682386299037
4687106631149561834,4632252062263396407
-4703458733694374599,4632252062263396407
4687106631149561834,6137765912201745169
-4703458733694374599,6137765912201745169
4687106631149561834,9133999061093391930
-4703458733694374599,9133999061093391930
4687106631149561834,6252364954653956338
-4703458733694374599,6252364954653956338
4687106631149561834,4486368297723532941
-4703458733694374599,4486368297723532941
4687106631149561834,-7134420019631577200
-6097805585051225509,-7134420019631577200
4687106631149561834,-6489072398504412498
-2672473053555925323,-6489072398504412498
4687106631149561834,-3955510240759364446
-1762041464387879260,-3955510240759364446
4687106631149561834,1856227969832394629
-1762041464387879260,1856227969832394629
4687106631149561834,1979998253126674483
-1762041464387879260,1979998253126674483
4687106631149561834,-5052497475947966130
-1762041464387879260,-5052497475947966130
4687106631149561834,4503156142468973269
-1762041464387879260,4503156142468973269
4687106631149561834,7803108535304783415
-1762041464387879260,7803108535304783415
4687106631149561834,4543227743799353743
-1762041464387879260,4543227743799353743
4687106631149561834,8939325786602577317
-2672473053555925323,8939325786602577317
4687106631149561834,5796272586079160516
-2672473053555925323,5796272586079160516
4687106631149561834,2818501711548443416
-2672473053555925323,2818501711548443416
4687106631149561834,566242629644762645
-2672473053555925323,566242629644762645
4687106631149561834,-5384600822607590196
-2672473053555925323,-5384600822607590196
4687106631149561834,-5533070350860110780
-2672473053555925323,-5533070350860110780
4687106631149561834,1776582642725251599
-2672473053555925323,1776582642725251599
4687106631149561834,-1310752332834374841
-1762041464387879260,-1310752332834374841
4687106631149561834,4537778386639389893
-676235161448501386,4537778386639389893
4687106631149561834,2480761400545891950
-676235161448501386,2480761400545891950
4687106631149561834,-8662109018252284136
-676235161448501386,-8662109018252284136
4687106631149561834,6675892611730168983
-676235161448501386,6675892611730168983
4687106631149561834,-8205881269891694699
-676235161448501386,-8205881269891694699
4687106631149561834,-3943591671977585145
-676235161448501386,-3943591671977585145
4687106631149561834,1368453816586823533
6027960748369381771,1368453816586823533
4687106631149561834,7805104492690462402
6027960748369381771,7805104492690462402
4687106631149561834,-3655781301291372354
6027960748369381771,-3655781301291372354
4687106631149561834,-2404230685474009770
-2672473053555925323,-2404230685474009770
4687106631149561834,4684217581371918130
-1762041464387879260,4684217581371918130
4687106631149561834,6155942238220327126
-1762041464387879260,6155942238220327126
4687106631149561834,-6996437033149589389
-676235161448501386,-6996437033149589389
4687106631149561834,3851170592520837880
-1762041464387879260,3851170592520837880
4687106631149561834,3277539602464354781
-1762041464387879260,3277539602464354781
4687106631149561834,5194455188019615916
-1762041464387879260,5194455188019615916
4687106631149561834,8909269234971040597
-1762041464387879260,8909269234971040597
4687106631149561834,5975228467289429463
-1762041464387879260,5975228467289429463
4687106631149561834,6422513133664615542
-1762041464387879260,6422513133664615542
4687106631149561834,4077417163776849364
6027960748369381771,4077417163776849364
4687106631149561834,8282847023537534294
-2672473053555925323,8282847023537534294
4687106631149561834,926545034884032308
-1762041464387879260,926545034884032308
4687106631149561834,-1952087934655036581
-1762041464387879260,-1952087934655036581
4687106631149561834,8455683753475004065
-1762041464387879260,8455683753475004065
4687106631149561834,8679887469901490430
-1762041464387879260,8679887469901490430
4687106631149561834,5778523190829012621
-1762041464387879260,5778523190829012621
4687106631149561834,1019022409013063841
-1762041464387879260,1019022409013063841
4687106631149561834,6422294291210073133
-676235161448501386,6422294291210073133
4687106631149561834,-6718914442361357944
-676235161448501386,-6718914442361357944
